Sigma_1,Sigma_2,Corr_Coeff,Rel_Error
3.0,1.0,0.0,0.04637570521734444
3.0,1.0,0.0,0.18361904855509054
3.0,1.0,0.0,0.16413451511404312
3.0,1.0,0.0,0.02462463533261785
3.0,1.0,0.0,0.0496361720775603
3.0,1.0,0.0,0.029955758809433585
3.0,1.0,0.0,0.008812003259442347
3.0,1.0,0.0,0.013134049880953761
0.5,2.0,0.0,0.9995788935052128
0.5,2.0,0.0,0.9999674506267552
0.5,2.0,0.0,0.999984021980313
0.5,2.0,0.0,0.9993701891659573
0.5,2.0,0.0,0.9994224915527037
0.5,2.0,0.0,0.9950805512373659
0.5,2.0,0.0,0.9990695133909648
0.5,2.0,0.0,0.999645028489909
0.5,2.0,0.0,0.9999558687977714
0.5,2.0,0.0,0.9996831611643947
0.5,2.0,0.0,0.9999989082947753
0.5,2.0,0.0,0.999787296210194
0.5,2.0,0.0,0.9997460440275597
0.5,2.0,0.0,0.9998861964187847
0.5,2.0,0.0,0.9999956558377775
0.5,2.0,0.0,0.9999520681342597
0.5,2.0,0.0,0.9998921773924296
0.5,2.0,0.0,0.9999987569669688
0.5,2.0,0.0,0.9999992806115567
0.5,2.0,0.0,0.9992516808628665
0.5,2.0,0.0,0.9994583088844864
0.5,2.0,0.0,0.9996502632185428
0.5,2.0,0.0,0.9992397270007183
0.5,2.0,0.0,0.9965428834107982
0.5,2.0,0.0,0.9998006397097161
1.0,2.0,0.0,0.9999717004345574
1.0,2.0,0.0,0.999960328035131
1.0,2.0,0.0,0.9998032717656012
1.0,2.0,0.0,0.9998549379887226
1.0,2.0,0.0,0.9999677250331761
1.0,2.0,0.0,0.999989163666052
1.0,2.0,0.0,0.9999619959484116
1.0,2.0,0.0,0.9999778402350807
1.0,2.0,0.0,0.9984061099823747
1.0,2.0,0.0,0.9998697139982236
1.0,2.0,0.0,0.9999218390298499
1.0,2.0,0.0,0.9999525362102283
1.0,2.0,0.0,0.9997842749386582
1.0,2.0,0.0,0.9999979465276838
1.0,2.0,0.0,0.9999143556776248
1.0,2.0,0.0,0.9995720253560145
1.0,2.0,0.0,0.2520326787463136
1.0,2.0,0.0,0.9965769554166833
1.0,2.0,0.0,0.9993432230830591
1.0,2.0,0.0,0.26814159435375157
1.0,2.0,0.0,0.9995751208765392
1.0,2.0,0.0,0.9998744185755147
1.0,2.0,0.0,0.9993529143723632
1.0,2.0,0.0,0.9999994318541227
1.0,2.0,0.0,0.999996724806501
2.0,2.0,0.0,0.1347534124919924
2.0,2.0,0.0,0.14509241029874304
2.0,2.0,0.0,0.08325258371119908
2.0,2.0,0.0,0.054814187494583125
2.0,2.0,0.0,0.12013535472921477
2.0,2.0,0.0,0.0903226373314024
2.0,2.0,0.0,0.9942224512975927
2.0,2.0,0.0,0.039907707598221424
